File Name,down,right,up,left,t,l,L,E,Young's Modulus (MPa),Volume Fraction,Dense strain,SEA,Mass,EYM,Critical Strain,PS
60mm_1_054,150,180,90,150,0.8,15,25,427.384,7.349102514,0.239187522,0.66513747,500.3336386,0.021742146,0.017195549,0.013750802,0.184904518
60mm_1_055,150,180,90,120,0.8,15,25,427.384,5.664306919,0.245556831,0.656220437,640.7834911,0.022321116,0.013253437,0.110122132,0.269245267
60mm_1_056,150,180,90,90,0.8,15,25,427.384,35.08244432,0.40565794,0.432078884,1129.260082,0.036874307,0.082086471,0.15,1.117343274
60mm_1_057,150,150,180,150,0.8,15,25,427.384,3.551835848,0.218977531,0.693431457,286.339929,0.019905058,0.008310643,0.041247761,0.092897158
60mm_1_058,150,150,180,120,0.8,15,25,427.384,1.604943168,0.22534684,0.684514424,313.4394999,0.020484028,0.003755272,0.013749504,0.105962552
60mm_1_059,150,150,180,90,0.8,15,25,427.384,1.505915304,0.239187522,0.66513747,401.0173711,0.021742146,0.003523565,0.013749005,0.148382369
60mm_1_060,150,150,150,150,0.8,15,25,427.384,5.033597146,0.22085893,0.690797498,290.693735,0.020076077,0.011777692,0.032082723,0.095172573
60mm_1_061,150,150,150,120,0.8,15,25,427.384,1.591139093,0.227228239,0.681880465,319.4990939,0.020655047,0.003722973,0.013750903,0.109317918
60mm_1_062,150,150,150,90,0.8,15,25,427.384,1.437679175,0.241068921,0.662503511,415.1704883,0.021913165,0.003363905,0.013750523,0.155448825
60mm_1_063,150,150,120,150,0.8,15,25,427.384,3.106473085,0.227228239,0.681880466,347.3078759,0.020655047,0.007268576,0.013750171,0.116944475
60mm_1_064,150,150,120,120,0.8,15,25,427.384,1.969651305,0.233597548,0.672963433,414.5081132,0.021234017,0.004608622,0.013751424,0.145725715
60mm_1_065,150,150,120,90,0.8,15,25,427.384,1.525608304,0.24743823,0.653586479,509.0838505,0.022492135,0.003569643,0.13301177,0.22280038
60mm_1_066,150,150,90,150,0.8,15,25,427.384,3.645335073,0.241068921,0.662503511,504.7923677,0.021913165,0.008529414,0.022927181,0.191002359
60mm_1_067,150,150,90,120,0.8,15,25,427.384,1.811922248,0.24743823,0.653586478,646.7672469,0.022492135,0.004239565,0.123727194,0.284379948
60mm_1_068,150,150,90,90,0.8,15,25,427.384,2.448032901,0.261278912,0.634209524,769.7656466,0.023750253,0.005727947,0.15,0.373825664
60mm_1_069,150,120,180,120,0.8,15,25,427.384,1.018501375,0.231716149,0.675597392,321.9874053,0.021062998,0.002383106,0.041273781,0.116006074
60mm_1_070,150,120,180,90,0.8,15,25,427.384,0.713568447,0.24555683,0.656220437,368.4484677,0.022321116,0.001669619,0.013751479,0.140192439
60mm_1_071,150,120,150,120,0.8,15,25,427.384,1.114352067,0.233597548,0.672963433,334.6397684,0.021234017,0.002607379,0.041265929,0.122020624
60mm_1_072,150,120,150,90,0.8,15,25,427.384,0.721850294,0.24743823,0.653586479,379.3645856,0.022492135,0.001688997,0.013753219,0.145875418
60mm_1_073,150,120,120,120,0.8,15,25,427.384,1.077911597,0.239966857,0.664046401,564.019834,0.021812987,0.002522115,0.050410438,0.217567351
60mm_1_074,150,120,120,90,0.8,15,25,427.384,0.696357266,0.253807538,0.644669446,525.3058755,0.023071105,0.001629348,0.013751368,0.213360289
60mm_1_075,150,120,90,120,0.8,15,25,427.384,1.095141156,0.253807539,0.644669446,803.8389157,0.023071105,0.002562429,0.15,0.395049266
60mm_1_076,150,120,90,90,0.8,15,25,427.384,2.021187832,0.334560276,0.531615614,778.6603157,0.030411529,0.004729208,0.15,0.627411272
60mm_1_077,150,90,180,90,0.8,15,25,427.384,6.544276899,0.259397512,0.636843483,681.1504599,0.023579234,0.015312405,0.082555739,0.290495236
