     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
        28    0.3963978240E+00    0.4123778774E+00    0.8333333333E-03    0.1277753130E+01    0.5067425210E-26
        29    0.5180288980E+00    0.4628704752E+00    0.7904207343E-03    0.1632993162E+01    0.2160000000E+00
        30    0.8333929320E+00    0.7954618733E+00    0.1239690648E-02    0.1807015806E+01    0.1891406325E-26
        31    0.3693667260E+00    0.4316194667E+00    0.6346082139E-03    0.2104939246E+01    0.1398250348E-03
        32    0.2698044510E+00    0.3204407637E+00    0.6666666667E-03    0.1093188789E+01    0.1000000000E+01
        33    0.6153670270E+00    0.4833833524E+00    0.8778812532E-03    0.1488280694E+01    0.4870292295E-06
        34    0.3272802620E+00    0.3263223906E+00    0.6904961124E-03    0.1347219359E+01    0.2021246561E-13
        35    0.2813828970E+00    0.3523755296E+00    0.7279837206E-03    0.1347219359E+01    0.5067425210E-26
        36    0.4143133690E+00    0.4435101696E+00    0.8447502772E-03    0.1399708424E+01    0.9357622969E-13
        37    0.5795148530E+00    0.6403120826E+00    0.1126333703E-02    0.1405528443E+01    0.2075617366E-25
        38    0.5850643720E+00    0.5252962408E+00    0.1100726288E-02    0.8944271910E+00    0.1513125060E-25
        39    0.5597592150E+00    0.5272720432E+00    0.8367387553E-03    0.1869333071E+01    0.4453884981E-17
        40    0.2829444460E+00    0.2905118303E+00    0.5227977938E-03    0.1592168333E+01    0.5787037037E+00
        41    0.4645354490E+00    0.4794245204E+00    0.8772721663E-03    0.1469693846E+01    0.9357622969E-13
        42    0.6062524690E+00    0.5809818414E+00    0.1040121165E-02    0.1277753130E+01    0.4218750000E+00
        43    0.6864245970E+00    0.4555745437E+00    0.8255447157E-03    0.1533303756E+01    0.2955322382E-25
        44    0.4093183090E+00    0.4827186525E+00    0.8976811208E-03    0.1102270384E+01    0.1000000000E+01
        45    0.6898432820E+00    0.6368694246E+00    0.8631201405E-03    0.2349120548E+01    0.1094563845E-26
        46    0.3320697670E+00    0.2858702286E+00    0.7018177331E-03    0.1093188789E+01    0.5415291070E-13
        47    0.7485131590E+00    0.7509026462E+00    0.9706449608E-03    0.1119766740E+01    0.4629629630E+01
        48    0.4948075030E+00    0.4956749484E+00    0.9029724859E-03    0.1461225641E+01    0.3262278619E-11
        49    0.7327511470E+00    0.6073758184E+00    0.1126333703E-02    0.1232375754E+01    0.2075617366E-25
        50    0.5093871490E+00    0.5249574222E+00    0.9478236739E-03    0.1451298955E+01    0.6787032906E-17
        51    0.4983720470E+00    0.5595474607E+00    0.9061503108E-03    0.1785405857E+01    0.6323510685E-33
        52    0.4180830430E+00    0.5554439319E+00    0.8320969319E-03    0.2034398071E+01    0.1169702871E-13
        53    0.3508196060E+00    0.3688342461E+00    0.7181448967E-03    0.1469693846E+01    0.2772629028E-13
        54    0.6347619830E+00    0.5840728748E+00    0.1196908161E-02    0.8520128672E+00    0.9357622969E-13
        55    0.6045104610E+00    0.7488228578E+00    0.1317367891E-02    0.1278019301E+01    0.3947747190E-13
        56    0.6235589290E+00    0.6584821037E+00    0.9050895827E-03    0.2309401077E+01    0.1149189538E-28
        57    0.6976455830E+00    0.6010704497E+00    0.7438143890E-03    0.2529822128E+01    0.2160000000E+00
        58    0.5256601890E+00    0.5082482053E+00    0.1045595588E-02    0.1006230590E+01    0.4483333511E-26
        59    0.5503091440E+00    0.5373148701E+00    0.8631201405E-03    0.1825741858E+01    0.3694152978E-26
